chapter	code	kind	preferred	inclusions	exclusions	depth	id
R	RS02	symptom	Shortness of breath	orthopnoea	hyperventilation RS04;stridor RS04;wheezing RS03	0	546
R	RS03	symptom	Wheezing	expiratory wheeze;rhonchi	dyspnoea RS02;hyperventilation RS04;stridor RS04	0	547
R	RS04	symptom	Other specified breathing problem	abnormal breathing;apnoea;holding breath;hyperventilation;inspiratory wheeze;respiratory distress;stridor;tachypnoea		0	548
R	RS05	symptom	Snoring			0	549
R	RS06	symptom	Sleep-related breathing problems			0	550
R	RS07	symptom	Cough	dry cough;moist cough	abnormal sputum/phlegm RS15	0	551
R	RS08	symptom	Nose bleed or epistaxis			0	552
R	RS09	symptom	Sneezing or nasal congestion	blocked nose;rhinorrhea;running nose		0	553
R	RS10	symptom	Nose symptoms or complaints	pain in nose	anosmia NS08;blocked nose/sneezing RS09;complaint of sinuses RS11;concern with appearance of nose RS91;epistaxis RS08;rhinophyma SD99	0	554
R	RS11	symptom	Sinus symptoms or complaints	blocked sinus;congested sinus;pain/pressure in sinus;post-nasal drip	headache NS01;face pain NS02;nasal congestion RS09	0	555
R	RS12	symptom	Throat symptoms or complaints	dry throat;inflamed throat;red throat;large tonsils;lump in throat;tonsillar pain	tonsillar hypertrophy RD66;voice symptom RS13	0	556
R	RS13	symptom	Voice symptoms or complaints	absence of voice;aphonia;hoarseness	neurological disorder of speech NS11;stammering/stuttering NS11;sore throat RS12	0	557
R	RS14	symptom	Haemoptysis or coughing blood			0	558
R	RS15	symptom	Abnormal sputum or phleg		cough with sputum RS07;haemoptysis RS14	0	559
R	RS50	clinicalFinding	Pleurisy or pleural effusion	pleural inflammatory exudate;pleuritis	pneumonia RD09;tuberculosis AD15	0	560
R	RS90	complaint	Concern or fear of disease respiratory system			0	561
R	RS91	complaint	Concern about appearance of nose	red nose;prominent nose		0	562
R	RS99	symptom	Other specified respiratory symptoms, complaints and abnormal findings	chest tightness;fluid on lung		0	563
R	RS99.00	symptom	Hiccough			1	1276
R	RS99.01	symptom	Irritable airways			1	1277
R	RS12.00	symptom	Pain in throat			1	1275
R	RS06.00	symptom	Sleep apnoea	central sleep apnoea;obstructive sleep apnoea		1	1274
S	SS01	symptom	Pain or tenderness of skin	painful lesion or rash;soreness	other sensation disturbance NS05;tingling fingers/feet/toes NS04	0	588
S	SS02	symptom	Pruritus	skin irritation	dermatitis artefacta SD99;nipple pruritus GS27;perianal itching DS05;scrotal pruritus GS21;vulval pruritus GS18	0	589
S	SS03	symptom	Lump or swelling of skin localised	papule	breast lump GS26;insect bite SD39;swelling AS09	0	590
S	SS04	symptom	Lump or swelling of skin generalised	lumps in multiple sites;papules in multiple sites;swellings in multiple sites	ankle oedema KS04;swelling AS09	0	591
S	SS05	symptom	Rash localised	blotch;erythema;redness	localized lump or swelling of skin SS03	0	592
S	SS06	symptom	Rash generalised	blotches occurring in multiple sites;erythema occurring in multiple sites;redness occurring in multiple sites	generalised lumps/swellings skin SS04;other viral exanthem AD13	0	593
S	SS07	symptom	Skin colour change	circles under eyes;livedo reticularis;flushing;freckles;pallor	bruise SD35;hot flushes GS13;jaundice DS13;vitiligo SD99	0	594
S	SS08	symptom	Skin texture symptom or complaint	fissura skin;peeling;scaling;wrinkles	ichthyosis SD55;scalp symptom/complaint SS11;sweating problem AS10;sweat gland disease SD73;vulval symptom/complaint GS18	0	595
S	SS09	symptom	Nail symptom or complaint	clubbing	ingrowing nail SD75;paronychia SD05	0	596
S	SS10	symptom	Hair loss or baldness			0	597
S	SS11	symptom	Other specified hair or scalp symptom or complaint	dry scalp	dandruff SD68;folliculitis SD06;hair loss/baldness SS10;trichotillomania PS99	0	598
S	SS90	complaint	Concern or fear of disease of skin			0	599
S	SS99	symptom	Other specified symptoms, complaints and abnormal findings of skin	cellulite;petechiae;problems with umbilicus;sore(s);spontaneous ecchymosis	chronic ulcer skin/pressure sore SD77;scar SD99	0	600
S	SS11.00	symptom	Change in hair colour			1	1311
S	SS11.01	symptom	Hirsutism			1	1312
S	SS08.00	symptom	Dry skin		xerosis cutis SD99	1	1309
S	SS08.01	symptom	Induration of skin			1	1310
S	SS07.00	symptom	Cyanosis			1	1308
T	TS01	symptom	Excessive thirst	polydipsia		0	649
T	TS02	symptom	Excessive appetite	overeating;polyphagia	bulimia PD17	0	650
T	TS03	symptom	Loss of appetite	anorexia	anorexia nervosa PD17;cachexia TS07	0	651
T	TS04	symptom	Feeding problem of infant or child	problem of how to feed infant or child	breast feeding problems WS06;feeding problem/eating disorders with psychological cause PS09;food allergy AD46;food intolerance DD99	0	652
T	TS05	symptom	Feeding problem of adult	problem of what and how to eat/feed adult	anorexia/bulimia nervosa PD17;dysphagia DS21;eating disorders NOS PS99;food allergy AD46;food intolerance DD99;loss of appetite TS03	0	653
T	TS06	symptom	Weight gain		obesity TD66;overweight TS51	0	654
T	TS07	symptom	Weight loss	cachexia	anorexia nervosa PD17	0	655
T	TS08	symptom	Growth delay	failure to thrive;physiological delay growth	delayed milestones PS18;delayed puberty TD99;learning disorder PS20	0	656
T	TS09	symptom	Dehydration	water depletion	salt depletion/electrolyte disturbance TD99	0	657
T	TS50	clinicalFinding	Underweight		marasmus TD74.01	0	658
T	TS51	clinicalFinding	Overweight		obesity TD66	0	659
T	TS90	complaint	Concern or fear of disease of endocrine, metabolic and nutritional system	concern of diabetes;concern of cancer of the endocrine, metabolic system;fear of diabetes;fear of cancer of the endocrine, metabolic system		0	660
T	TS99	symptom	Other specified endocrine, metabolic, nutritional symptoms, complaints, abnormal findings	specific food craving	hyperglycemia AS50;fluid retention KS04	0	661
U	US01	symptom	Dysuria or painful urination or both	burning urination;strangury;vesical tenesmus	frequent/urgent urination US02;urethritis UD03	0	679
U	US02	symptom	Urinary frequency or urgency	nocturia;polyuria		0	680
U	US03	symptom	Urine incontinence	enuresis of organic origin;involuntary urination	urine incontinence of psychogenic origin PS10	0	681
U	US04	symptom	Urinary retention			0	682
U	US05	symptom	Other specified urination problems	dribbling urine	urinary retention US04	0	683
U	US06	symptom	Haematuria	blood in urine;microscopic haematuria	abnormal urine test US50	0	684
U	US07	symptom	Other specified urine symptom or complaint	dark urine;malodorous urine	abnormal urine test US50	0	685
U	US08	symptom	Other specified bladder symptom or complaint	bladder pain;irritable bladder		0	686
U	US09	symptom	Kidney symptom or complaint	kidney pain;kidney trouble	loin/flank pain LS05	0	687
U	US10	symptom	Urethral discharge			0	688
